Game,Relation,They,Console,Year,Sales
super mario galaxy,BOSS_IN,mega goomba,Wii,2007,11.35
new super mario bros. wii,BOSS_IN,mega goomba,Wii,2009,28.32
super mario galaxy 2,BOSS_IN,mega goomba,Wii,2010,7.51
super mario 3d land,BOSS_IN,mega goomba,3DS,2011,10.81
new super mario bros. u,BOSS_IN,mega goomba,WiiU,2012,5.22
super mario bros. wonder,BOSS_IN,mega goomba,Switch,2023,0.0
mario party 10,BOSS_IN,big monty mole,WiiU,2015,1.58
super mario maker 2,BOSS_IN,big monty mole,Switch,2019,0.0
mario party: star rush,BOSS_IN,big monty mole,3DS,2016,0.3
super mario run,BOSS_IN,big spiny,Mobile,2016,0.0
super mario run,BOSS_IN,big spiny,Mobile,2017,0.0
mario kart: double dash!!,BOSS_IN,birdo,GC,2003,13.9
mario party 7,BOSS_IN,birdo,GC,2005,1.57
bs super mario usa,BOSS_IN,birdo,Other Platform,1996,0.0
bs super mario usa,BOSS_IN,birdo,Other Platform,1995,0.0
mario kart arcade gp 2,BOSS_IN,birdo,Arcade,2007,0.0
mario party 8,BOSS_IN,birdo,Wii,2007,8.27
mario & luigi: brothership,BOSS_IN,birdo,Switch,2024,0.0
super mario maker,BOSS_IN,birdo,WiiU,2015,3.21
super mario maker,BOSS_IN,birdo,WiiU,2016,3.21
mario kart wii,BOSS_IN,birdo,Wii,2008,35.52
super mario maker 2,BOSS_IN,birdo,Switch,2019,0.0
mario kart 7,BOSS_IN,birdo,3DS,2011,12.66
mario party 9,BOSS_IN,birdo,Wii,2012,3.13
mario party: island tour,BOSS_IN,birdo,3DS,2013,1.92
mario party: island tour,BOSS_IN,birdo,3DS,2014,1.92
mario kart tour,BOSS_IN,birdo,Mobile,2019,0.0
super mario party,BOSS_IN,birdo,Switch,2018,0.0
mario kart world,BOSS_IN,birdo,Switch 2,2025,0.0
mario party superstars,BOSS_IN,birdo,Switch,2021,0.0
mario party superstars,BOSS_IN,birdo,3DS,2017,0.0
super mario party jamboree,BOSS_IN,birdo,Switch,2024,0.0
mario kart ds,BOSS_IN,blooper,DS,2005,23.21
mario party,BOSS_IN,blooper,N64,1998,2.7
mario kart wii,BOSS_IN,blooper,Wii,2008,35.52
mario party 2,BOSS_IN,blooper,N64,1999,2.5
super mario sunshine,BOSS_IN,blooper,GC,2002,6.31
mario kart 7,BOSS_IN,blooper,3DS,2011,12.66
mario party 3,BOSS_IN,blooper,N64,2000,1.91
mario & luigi: dream team,BOSS_IN,blooper,3DS,2013,2.08
new super mario bros.,BOSS_IN,blooper,DS,2006,29.8
mario party 4,BOSS_IN,blooper,GC,2002,2.47
mario & luigi: paper jam,BOSS_IN,blooper,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,blooper,3DS,2016,0.76
super mario galaxy,BOSS_IN,blooper,Wii,2007,11.35
mario kart tour,BOSS_IN,blooper,Mobile,2019,0.0
mario party 6,BOSS_IN,blooper,GC,2004,1.65
mario & luigi: brothership,BOSS_IN,blooper,Switch,2024,0.0
new super mario bros. wii,BOSS_IN,blooper,Wii,2009,28.32
mario kart world,BOSS_IN,blooper,Switch 2,2025,0.0
mario party advance,BOSS_IN,blooper,GBA,2005,0.98
super mario galaxy 2,BOSS_IN,blooper,Wii,2010,7.51
mario party 8,BOSS_IN,blooper,Wii,2007,8.27
super mario 3d land,BOSS_IN,blooper,3DS,2011,10.81
mario party ds,BOSS_IN,blooper,DS,2007,8.91
new super mario bros. 2,BOSS_IN,blooper,3DS,2012,9.9
mario party 9,BOSS_IN,blooper,Wii,2012,3.13
mario party: island tour,BOSS_IN,blooper,3DS,2013,1.92
mario party: island tour,BOSS_IN,blooper,3DS,2014,1.92
mario party 10,BOSS_IN,blooper,WiiU,2015,1.58
mario party: star rush,BOSS_IN,blooper,3DS,2016,0.3
super mario run,BOSS_IN,blooper,Mobile,2016,0.0
super mario run,BOSS_IN,blooper,Mobile,2017,0.0
mario party: the top 100,BOSS_IN,blooper,3DS,2017,0.0
super mario odyssey,BOSS_IN,blooper,Switch,2017,0.0
super mario party,BOSS_IN,blooper,Switch,2018,0.0
mario party superstars,BOSS_IN,blooper,Switch,2021,0.0
mario party superstars,BOSS_IN,blooper,3DS,2017,0.0
super mario party jamboree,BOSS_IN,blooper,Switch,2024,0.0
super mario bros. 3,BOSS_IN,boomerang bro,Nintendo,1988,22.48
